#{"t_start": 1632727181.1967397, "env_id": null}
r,l,t
1.380952,17,32.204061
1.357143,16,32.248988
-0.809524,9,32.275943
-0.809524,9,32.303572
-0.761905,11,32.335519
-9.571429,19,32.386324
-0.738095,12,32.420234
-0.738095,12,32.453088
-0.761905,11,32.483187
1.119048,6,32.499778
1.166667,8,32.521196
1.190476,9,32.547124
-0.714286,13,32.583359
-0.809524,9,32.610101
-9.714286,13,32.643027
-9.761905,11,32.672656
-9.690476,14,32.709172
-9.809524,9,32.734105
-0.690476,14,32.773001
-0.833333,8,32.796964
-9.738095,12,32.828882
1.261905,12,32.86284
1.285714,13,33.212877
-0.857143,7,33.233293
-9.666667,15,33.273645
1.357143,16,33.317129
-9.642857,16,33.35956
1.214286,10,33.3871
-0.857143,7,33.407984
1.261905,12,33.440347
1.214286,10,33.468272
1.119048,6,33.485686
-0.833333,8,33.509146
-9.714286,13,33.545053
-9.714286,13,33.579746
-0.761905,11,33.61075
1.190476,9,33.636081
-9.571429,19,33.687052
1.261905,12,33.720922
-0.714286,13,33.759202
1.095238,5,33.775159
1.214286,10,33.803084
-0.928571,4,33.817047
-9.833333,8,33.838988
-0.857143,7,33.860587
-9.714286,13,33.896876
1.214286,10,34.044218
1.357143,16,34.090095
-0.904762,5,34.106342
1.190476,9,34.132658
1.357143,16,34.193138
-9.690476,14,34.239967
1.190476,9,34.26888
1.190476,9,34.294331
-9.714286,13,34.330193
-0.738095,12,34.364104
-9.642857,16,34.408068
1.119048,6,34.42602
1.190476,9,34.45292
1.119048,6,34.471146
-0.833333,8,34.496094
1.190476,9,34.521055
-0.809524,9,34.54898
-9.642857,16,34.592327
1.309524,14,34.630194
-0.690476,14,34.672115
-0.880952,6,34.691952
-0.833333,8,34.715944
1.285714,13,34.752822
1.095238,5,34.768776
-0.666667,15,34.93329
-0.666667,15,34.975097
-0.833333,8,35.00003
-0.761905,11,35.033766
-0.690476,14,35.074639
-0.857143,7,35.097005
1.285714,13,35.134385
1.190476,9,35.162459
-0.904762,5,35.179877
1.285714,13,35.215795
1.190476,9,35.242686
1.309524,14,35.282167
-9.785714,10,35.318951
-9.619048,17,35.368144
-0.857143,7,35.392274
-0.785714,10,35.423403
-9.714286,13,35.461151
1.285714,13,35.498197
-0.666667,15,35.53949
-9.738095,12,35.572871
-0.809524,9,35.599776
-9.714286,13,35.634567
-0.904762,5,35.651754
-9.642857,16,35.821784
-9.761905,11,35.85379
1.166667,8,35.876315
-0.833333,8,35.899981
-9.714286,13,35.936863
1.285714,13,35.973751
-0.738095,12,36.007218
-0.857143,7,36.030156
-0.833333,8,36.056127
-0.833333,8,36.08233
-0.738095,12,36.117905
-0.880952,6,36.137669
-9.738095,12,36.172166
-9.809524,9,36.198093
1.309524,14,36.237008
-9.642857,16,36.280952
-0.761905,11,36.313864
1.285714,13,36.350065
1.095238,5,36.365026
-0.714286,13,36.402998
-0.904762,5,36.421947
-9.761905,11,36.460414
1.261905,12,36.506291
1.285714,13,36.549217
-0.857143,7,36.70239
1.238095,11,36.734114
1.238095,11,36.7666
1.214286,10,36.797005
-0.833333,8,36.820867
-0.880952,6,36.840309
-0.809524,9,36.869511
1.214286,10,36.898823
1.380952,17,36.947064
-0.880952,6,36.966267
1.190476,9,36.991362
1.214286,10,37.019094
1.238095,11,37.050585
-0.809524,9,37.076223
1.190476,9,37.102153
-9.785714,10,37.129081
1.285714,13,37.171751
-0.714286,13,37.212418
1.309524,14,37.255207
-0.857143,7,37.278146
-0.833333,8,37.305892
1.238095,11,37.339994
-0.833333,8,37.365206
-9.761905,11,37.396124
-0.761905,11,37.428038
-0.761905,11,37.459789
1.261905,12,37.617458
-9.714286,13,37.658072
-0.833333,8,37.684822
-0.785714,10,37.719321
-9.738095,12,37.75581
-0.738095,12,37.79381
-9.809524,9,37.822124
1.142857,7,37.842899
-0.785714,10,37.871824
-9.738095,12,37.904736
-0.785714,10,37.935747
-0.714286,13,37.973204
1.166667,8,37.995145
-0.880952,6,38.014322
1.119048,6,38.032095
-0.785714,10,38.060993
1.214286,10,38.088064
1.166667,8,38.112
1.214286,10,38.140552
-9.785714,10,38.16744
-0.904762,5,38.184096
1.238095,11,38.215257
-9.690476,14,38.252537
1.309524,14,38.295221
-9.785714,10,38.324441
1.190476,9,38.481867
-0.738095,12,38.51726
1.285714,13,38.555149
-0.666667,15,38.599031
1.261905,12,38.633045
-0.714286,13,38.669119
1.309524,14,38.709013
1.142857,7,38.730954
1.261905,12,38.766941
1.214286,10,38.798276
-9.666667,15,38.841755
-0.809524,9,38.869297
1.095238,5,38.886251
1.214286,10,38.916085
-0.738095,12,38.950994
-0.738095,12,38.987055
1.166667,8,39.01194
-0.880952,6,39.031548
-0.761905,11,39.065545
1.142857,7,39.086504
-9.666667,15,39.125417
-0.857143,7,39.147357
1.214286,10,39.178022
