#{"t_start": 1632671971.0842528, "env_id": null}
r,l,t
1.095238,5,2.442707
1.285714,13,2.48157
-0.738095,12,2.519469
1.214286,10,2.550386
-9.690476,14,2.593272
-0.761905,11,2.630172
1.238095,11,2.665079
-0.809524,9,2.695997
1.285714,13,2.737885
-0.785714,10,2.771794
1.285714,13,2.813682
-9.690476,14,2.856567
1.261905,12,2.897457
-0.904762,5,2.917404
-9.785714,10,2.952311
1.261905,12,2.993201
-0.809524,9,3.024119
1.119048,6,3.044065
-0.785714,10,3.076977
-0.785714,10,3.110887
1.285714,13,3.151777
-9.761905,11,3.184689
-9.595238,18,3.239542
-0.785714,10,3.590603
-0.785714,10,3.623515
-9.738095,12,3.660416
-0.761905,11,3.696323
-0.785714,10,3.730229
1.357143,16,3.780096
-0.880952,6,3.801039
1.095238,5,3.818992
-9.785714,10,3.849909
1.285714,13,3.892794
1.166667,8,3.921717
1.214286,10,3.958618
1.261905,12,3.999509
1.214286,10,4.030426
1.190476,9,4.060429
-9.738095,12,4.096332
-0.904762,5,4.115282
-9.809524,9,4.143207
1.190476,9,4.17213
-0.785714,10,4.206039
-0.714286,13,4.248924
-0.738095,12,4.288818
1.285714,13,4.328711
-0.904762,5,4.346663
1.238095,11,4.381569
-9.714286,13,4.550118
1.333333,15,4.594998
1.261905,12,4.6319
1.166667,8,4.658827
1.190476,9,4.688747
-0.833333,8,4.715676
-0.761905,11,4.752577
1.238095,11,4.787483
-0.904762,5,4.80743
1.166667,8,4.834358
-9.642857,16,4.883227
-0.809524,9,4.914144
-9.761905,11,4.949051
-9.761905,11,4.985952
1.238095,11,5.021856
1.190476,9,5.050779
1.261905,12,5.088677
-0.833333,8,5.115605
-0.833333,8,5.143531
1.190476,9,5.171456
-0.857143,7,5.197387
1.333333,15,5.246256
-9.595238,18,5.302106
-0.857143,7,5.32704
-0.809524,9,5.357957
1.214286,10,5.523514
-9.666667,15,5.568394
-0.928571,4,5.583354
-9.714286,13,5.621253
1.285714,13,5.662143
-0.809524,9,5.69306
1.142857,7,5.716996
1.214286,10,5.748911
1.119048,6,5.768857
1.238095,11,5.804761
1.095238,5,5.822713
1.214286,10,5.854628
-0.690476,14,5.900505
-0.785714,10,5.933417
1.119048,6,5.953364
1.214286,10,5.986276
-9.833333,8,6.010212
-0.809524,9,6.041129
1.071429,4,6.055092
1.095238,5,6.073044
1.095238,5,6.089998
1.238095,11,6.125902
-9.761905,11,6.159811
1.071429,4,6.173774
1.071429,4,6.188734
1.261905,12,6.226633
-0.857143,7,6.250569
1.261905,12,6.288467
-9.785714,10,6.319385
-0.738095,12,6.485939
1.285714,13,6.524835
1.095238,5,6.54179
1.261905,12,6.580686
1.285714,13,6.620579
-0.857143,7,6.644514
-0.880952,6,6.665458
1.214286,10,6.69837
-0.904762,5,6.716322
-0.761905,11,6.755218
-0.785714,10,6.78813
-9.714286,13,6.828024
1.285714,13,6.870909
-0.880952,6,6.890856
-0.857143,7,6.915789
-0.666667,15,6.963661
1.166667,8,6.990589
-9.785714,10,7.020509
1.190476,9,7.050428
-0.928571,4,7.065388
1.309524,14,7.109271
-0.666667,15,7.157143
1.261905,12,7.196039
-0.928571,4,7.210999
1.119048,6,7.230945
1.261905,12,7.270839
-0.714286,13,7.44238
-9.690476,14,7.484269
-9.785714,10,7.514187
1.357143,16,7.563057
1.071429,4,7.577019
1.285714,13,7.61791
-9.714286,13,7.657804
-9.666667,15,7.702683
1.119048,6,7.72263
-0.880952,6,7.743574
1.095238,5,7.760529
-0.809524,9,7.791446
1.095238,5,7.8084
-0.761905,11,7.846299
1.166667,8,7.87223
-9.714286,13,7.912123
1.119048,6,7.93207
1.142857,7,7.955008
-9.714286,13,7.994901
-0.785714,10,8.028811
1.285714,13,8.068704
1.095238,5,8.085659
-0.52381,21,8.149488
1.214286,10,8.181402
-0.833333,8,8.209328
-0.833333,8,8.236256
-9.809524,9,8.391839
1.142857,7,8.414778
1.261905,12,8.451679
1.214286,10,8.484591
-9.761905,11,8.517503
-0.785714,10,8.551412
-0.785714,10,8.584324
-0.880952,6,8.606266
-0.833333,8,8.633193
-0.785714,10,8.666106
1.166667,8,8.693033
1.095238,5,8.709988
-0.738095,12,8.748884
-0.738095,12,8.78778
1.190476,9,8.816703
1.166667,8,8.842633
1.142857,7,8.865572
-0.761905,11,8.903471
1.166667,8,8.930399
1.166667,8,8.955332
-0.833333,8,8.982259
1.214286,10,9.015172
-0.809524,9,9.045091
-0.761905,11,9.079998
-0.880952,6,9.100942
-0.904762,5,9.119891
-0.666667,15,9.166766
-0.833333,8,9.194691
-0.833333,8,9.221619
-0.761905,11,9.386179
-0.785714,10,9.419091
-0.833333,8,9.446019
-0.785714,10,9.479928
-9.690476,14,9.522813
1.261905,12,9.560712
1.142857,7,9.584648
-0.714286,13,9.62853
-0.738095,12,9.667426
-9.738095,12,9.704328
-9.714286,13,9.744221
-0.857143,7,9.768157
-0.809524,9,9.799074
-9.761905,11,9.831986
-9.690476,14,9.873874
1.261905,12,9.909778
1.119048,6,9.928727
-0.738095,12,9.970615
-0.738095,12,10.010508
-9.738095,12,10.046412
-0.761905,11,10.082316
1.238095,11,10.117223
1.142857,7,10.140161
-9.714286,13,10.30871
1.095238,5,10.325665
1.238095,11,10.359574
1.285714,13,10.401462
-0.761905,11,10.437366
1.095238,5,10.454321
1.095238,5,10.472273
1.166667,8,10.498204
-9.809524,9,10.526129
1.119048,6,10.546075
1.190476,9,10.574998
-0.904762,5,10.59295
-0.857143,7,10.616886
1.261905,12,10.654784
-9.690476,14,10.696672
-9.642857,16,10.744544
1.190476,9,10.773467
-9.642857,16,10.821339
1.285714,13,10.862229
1.190476,9,10.891152
1.238095,11,10.926059
-0.904762,5,10.94401
-9.690476,14,10.986896
1.119048,6,11.006842
1.238095,11,11.042747
-9.690476,14,11.084635
1.142857,7,11.107573
-0.928571,4,11.250191
1.095238,5,11.266149
1.214286,10,11.298064
-9.761905,11,11.331972
-9.809524,9,11.359898
-0.880952,6,11.381839
1.119048,6,11.401786
1.285714,13,11.442676
1.261905,12,11.480575
1.071429,4,11.495535
-9.809524,9,11.523461
-0.880952,6,11.544404
-0.809524,9,11.576319
1.214286,10,11.608233
-0.809524,9,11.638153
-9.619048,17,11.68802
1.095238,5,11.704975
1.166667,8,11.730905
1.261905,12,11.767807
1.238095,11,11.802713
-0.880952,6,11.823657
1.261905,12,11.861556
-9.714286,13,11.901449
1.238095,11,11.935358
-9.761905,11,11.969267
-0.857143,7,11.993203
1.119048,6,12.014147
-9.619048,17,12.194664
-9.666667,15,12.238547
1.238095,11,12.273454
1.190476,9,12.303373
-0.809524,9,12.333293
1.261905,12,12.372189
1.285714,13,12.41308
1.190476,9,12.442003
1.166667,8,12.467933
-9.642857,16,12.515805
1.190476,9,12.545725
-9.809524,9,12.572653
-9.833333,8,12.597586
1.166667,8,12.623517
1.166667,8,12.650445
1.238095,11,12.685351
1.238095,11,12.719261
1.071429,4,12.733223
1.214286,10,12.765138
-0.785714,10,12.79805
1.214286,10,12.828967
-9.833333,8,12.853901
-9.761905,11,12.886812
1.166667,8,12.912743
-0.904762,5,12.930695
-0.785714,10,12.964604
1.166667,8,12.990535
-9.761905,11,13.152102
1.142857,7,13.174044
1.142857,7,13.198977
1.071429,4,13.21294
-0.809524,9,13.243857
1.214286,10,13.275772
-9.833333,8,13.300705
1.214286,10,13.33262
1.142857,7,13.355558
1.309524,14,13.399441
-9.761905,11,13.433351
1.214286,10,13.465265
-0.833333,8,13.492193
-0.785714,10,13.525105
1.119048,6,13.544126
-9.833333,8,13.570058
1.166667,8,13.595988
-0.738095,12,13.633886
-9.714286,13,13.672781
-9.738095,12,13.707688
1.142857,7,13.730627
-9.761905,11,13.766531
-0.833333,8,13.792459
1.190476,9,13.821386
-9.761905,11,13.853301
1.214286,10,13.884216
1.119048,6,13.904133
1.071429,4,13.91713
-9.785714,10,13.94605
-9.809524,9,14.101635
-9.714286,13,14.140533
1.142857,7,14.16347
1.190476,9,14.192392
1.166667,8,14.218322
-0.785714,10,14.251236
1.166667,8,14.280125
-0.880952,6,14.301101
1.166667,8,14.328029
1.166667,8,14.353964
1.095238,5,14.370882
1.261905,12,14.407784
1.190476,9,14.436738
1.095238,5,14.453693
1.119048,6,14.473639
-9.761905,11,14.506552
1.119048,6,14.526501
-0.809524,9,14.556418
-0.809524,9,14.586337
1.190476,9,14.614265
-9.738095,12,14.650167
-9.714286,13,14.689067
1.285714,13,14.728956
-0.928571,4,14.743916
-9.785714,10,14.774833
1.238095,11,14.809708
1.190476,9,14.836668
1.071429,4,14.850633
1.166667,8,14.876562
1.119048,6,15.025132
1.190476,9,15.054094
1.261905,12,15.08999
1.214286,10,15.121904
1.119048,6,15.141851
1.166667,8,15.167781
-0.809524,9,15.197702
1.238095,11,15.232609
-0.833333,8,15.258539
1.190476,9,15.287462
1.214286,10,15.319345
1.214286,10,15.352256
-9.833333,8,15.376224
1.190476,9,15.405115
1.095238,5,15.423067
1.261905,12,15.459002
1.190476,9,15.487925
1.285714,13,15.529782
-9.738095,12,15.565686
1.095238,5,15.583637
-9.809524,9,15.610565
-0.833333,8,15.641483
1.238095,11,15.681375
1.119048,6,15.705313
1.166667,8,15.737228
-9.785714,10,15.772134
-0.785714,10,15.80704
1.166667,8,15.836959
-9.761905,11,16.029445
-0.857143,7,16.056373
-9.738095,12,16.099258
1.071429,4,16.11721
1.190476,9,16.14713
1.238095,11,16.187024
-0.761905,11,16.224922
-9.761905,11,16.260826
1.190476,9,16.29274
-9.833333,8,16.318671
1.095238,5,16.336623
1.142857,7,16.361556
-9.785714,10,16.394469
-9.809524,9,16.42339
1.166667,8,16.451316
1.190476,9,16.479241
1.166667,8,16.506169
1.261905,12,16.545065
-9.809524,9,16.573987
-0.690476,14,16.620894
1.071429,4,16.635853
-0.833333,8,16.663779
-9.666667,15,16.710622
-0.809524,9,16.741539
-9.785714,10,16.772457
-9.738095,12,16.810355
1.166667,8,16.837283
-9.785714,10,16.8682
1.214286,10,17.035752
1.166667,8,17.06268
1.261905,12,17.100579
1.190476,9,17.128505
1.238095,11,17.16341
1.261905,12,17.202306
1.071429,4,17.218264
-0.809524,9,17.249181
1.142857,7,17.273117
1.190476,9,17.301074
1.309524,14,17.345923
1.190476,9,17.375874
-9.738095,12,17.413741
1.238095,11,17.448648
1.071429,4,17.463607
1.190476,9,17.493527
-0.833333,8,17.520456
1.238095,11,17.555362
1.190476,9,17.584285
-9.714286,13,17.62421
1.119048,6,17.645154
1.214286,10,17.678068
-0.857143,7,17.703003
-0.785714,10,17.736876
1.190476,9,17.764802
-0.690476,14,17.808716
1.142857,7,17.831623
1.214286,10,17.99718
1.166667,8,18.02311
1.071429,4,18.03807
-0.857143,7,18.063003
-9.738095,12,18.099905
-9.738095,12,18.137804
-9.690476,14,18.180689
-0.785714,10,18.215595
-0.785714,10,18.249505
1.190476,9,18.279425
-0.857143,7,18.305355
-9.738095,12,18.344251
1.214286,10,18.377163
-0.785714,10,18.411071
1.166667,8,18.438
1.261905,12,18.476896
1.285714,13,18.51679
-0.642857,16,18.568651
1.190476,9,18.597573
-9.714286,13,18.638464
-0.857143,7,18.6624
1.190476,9,18.69232
-0.809524,9,18.723237
1.166667,8,18.751162
-0.880952,6,18.773104
1.166667,8,18.801029
-9.761905,11,18.833972
-9.714286,13,19.001492
1.166667,8,19.027423
-9.785714,10,19.058341
1.095238,5,19.07729
-0.738095,12,19.11818
1.214286,10,19.151126
-0.809524,9,19.182041
1.261905,12,19.219909
1.142857,7,19.242879
1.190476,9,19.271801
1.190476,9,19.300728
1.261905,12,19.338591
-0.761905,11,19.375523
1.190476,9,19.403448
1.142857,7,19.425392
1.357143,16,19.474227
-0.809524,9,19.504179
1.166667,8,19.531107
1.190476,9,19.560995
-0.690476,14,19.608867
1.214286,10,19.642777
-0.690476,14,19.690649
1.285714,13,19.732537
1.166667,8,19.759464
-9.738095,12,19.798392
-9.666667,15,19.975886
1.261905,12,20.012787
1.190476,9,20.041709
-0.738095,12,20.080605
1.142857,7,20.104541
-0.761905,11,20.14244
1.261905,12,20.182333
1.214286,10,20.215245
1.095238,5,20.232199
-0.928571,4,20.248157
1.214286,10,20.28107
-0.785714,10,20.314979
-9.714286,13,20.355869
1.071429,4,20.371826
-0.809524,9,20.403742
-0.809524,9,20.434658
1.095238,5,20.45261
-0.809524,9,20.484525
1.166667,8,20.510455
1.166667,8,20.536386
-9.714286,13,20.578274
1.238095,11,20.614178
1.119048,6,20.634124
1.166667,8,20.660055
1.309524,14,20.705044
1.190476,9,20.734961
1.166667,8,20.761857
1.142857,7,20.917441
1.238095,11,20.952348
-9.666667,15,20.998225
-0.904762,5,21.017174
-0.833333,8,21.0451
1.238095,11,21.080007
1.166667,8,21.106935
-0.880952,6,21.128876
1.142857,7,21.152811
-9.761905,11,21.186722
-0.714286,13,21.231601
-0.857143,7,21.258529
-9.785714,10,21.29144
-0.761905,11,21.329371
1.285714,13,21.371259
-0.714286,13,21.415111
-9.690476,14,21.45999
-0.833333,8,21.487915
1.285714,13,21.529802
-9.595238,18,21.584687
-9.690476,14,21.626578
-0.857143,7,21.650512
1.190476,9,21.683392
1.190476,9,21.716304
-0.761905,11,21.754202
-9.642857,16,21.946687
1.190476,9,21.978602
-0.738095,12,22.02049
1.142857,7,22.044426
1.357143,16,22.09529
-0.833333,8,22.12521
1.166667,8,22.153135
1.190476,9,22.184053
-0.904762,5,22.203002
-9.809524,9,22.23292
-0.738095,12,22.272815
-0.857143,7,22.297749
-0.809524,9,22.330661
-9.738095,12,22.370552
-9.809524,9,22.403466
-9.761905,11,22.443357
1.119048,6,22.466296
-0.809524,9,22.499208
-9.761905,11,22.53611
1.285714,13,22.580026
-0.785714,10,22.614928
-9.666667,15,22.661774
1.166667,8,22.6897
1.071429,4,22.704659
